ID,Topic
979,"Nuclear Security Summit, 2010"
980,Retail Industry Leaders Association
981,"Islamic Cooperation, Organisation of"
982,Mongolia
983,"Equal Pay Enforcement Task Force, National"
984,"Americans with Disabilities Act, 25th anniversary"
985,"Buffett, Warren E"
986,Federal
987,Health ad medical care
988,Health and medial care
989,"Personnel Management, U.S. Office of"
990,Samoa
991,Idaho
992,"Accountability Office, Government"
993,"Brown, Sherrod C"
994,Economy. national
995,New York City
996,Gap Inc. decision to increase employee wages
997,Ash Wednesday
998,Hungry
999,"Ecuador, President"
1000,Developing Countries
1001,Nicaragua
1002,Oil and gas industry
1003,D
1004,African Growth and Opportunity Act
1005,White House Summit on Global Development
1006,Captive Nations Week
1007,Statements by the The President
1008,March for Life
1009,"North Korea, role in six-party talks"
1010,Tibet
1011,"Mentoring Council, Federal"
1012,White House Mentorship Program
1013,"Laos, President"
1014,"Space, Station, International "
1015,"Poison Prevention Week, National"
1016,"Sexual Assault Awareness Month, National"
1017,"Gulf of Mexico, Deepwater Horizon oil spill"
1018,White House Summit on Working Families
1019,King Kamehameha Day
1020,"Chile, extradition treaty with U.S"
1021,"Hispanic Heritage Month, National"
1022,Countering America's Adversaries Through Sanctions Act of 2017
1023,Commodity Credit Corporation
1024,"Angel Island Day, National"
1025,America Recycles Day
1026,Food and Drug Administration
1027,Mental Health and Substance Use Disorder Parity Task Force
1028,"Russia, President"
1029,"Venezuela, political unrest and violence"
1030,"Heath and Human Services, Department of"
1031,White House Conference on Bullying Prevention
1032,"Letters, Messages, Telegrams"
1033,"Technology Council, American"
1034,Flag Day and National Flag Week
1035,TX
1036,Nelson Mandela International Day
1037,Postsecondary education
1038,White House Historical Association
1039,Slovakia
1040,Hispanic Heritage Month
1041,"National Football League, national anthem controversy"
1042,World Customs Organization
1043,Moldova
1044,"Southeast Pennsylvania Transportation Authority, emergency board to investigate labor disputes"
1045,"Michael Smerconish Morning Show, The"
1046,"Family Research Council, Values Voter Summit"
1047,"LaHood, Raymond H"
1048,Asia-Pacific
